,N,N_poles,Vision,Grid_positions,run,Average_lifespan,Percentage_failed,Total_attempts,Usage
0,100,0.1,1,LHS,0,2183.138613861386,0.5516074450084603,1182,0.3475
1,100,0.1,1,circle,1,2416.4653465346537,0.3423618634886241,923,0.34204545454545454
2,100,0.1,2,LHS,2,2138.267326732673,0.6500968366688186,1549,0.33725
3,100,0.1,2,circle,3,2423.0495049504952,0.3742393509127789,986,0.38477272727272727
4,100,0.125,1,LHS,4,2282.4653465346537,0.4944649446494465,1084,0.2620833333333333
5,100,0.125,1,circle,5,2414.09900990099,0.23680823680823682,777,0.23961538461538467
6,100,0.125,2,LHS,6,2285.1881188118814,0.4515484515484515,1001,0.2710416666666667
7,100,0.125,2,circle,7,2426.8811881188117,0.27548543689320387,824,0.2759615384615385
8,100,0.16666666666666666,1,LHS,8,2340.4059405940593,0.3383545770567787,863,0.21203125
9,100,0.16666666666666666,1,circle,9,2430.960396039604,0.1830065359477124,765,0.2151470588235294
10,100,0.16666666666666666,2,LHS,10,2457.3960396039606,0.25903614457831325,830,0.20500000000000002
11,100,0.16666666666666666,2,circle,11,2449.2475247524753,0.12277867528271405,619,0.18941176470588234
12,300,0.1,1,LHS,12,2457.8837209302324,0.5657963446475196,3830,0.27825
13,300,0.1,1,circle,13,2492.2392026578073,0.25686106346483706,2332,0.27451612903225814
14,300,0.1,2,LHS,14,2461.6312292358803,0.40419060493409936,2959,0.2791666666666667
15,300,0.1,2,circle,15,2468.375415282392,0.28016194331983807,2470,0.3103225806451614
16,300,0.125,1,LHS,16,2473.109634551495,0.41744749596122777,3095,0.24574324324324323
17,300,0.125,1,circle,17,2479.6976744186045,0.18044402456306094,2117,0.2548684210526315
18,300,0.125,2,LHS,18,2468.671096345515,0.40358592692828144,2956,0.26608108108108103
19,300,0.125,2,circle,19,2491.1794019933554,0.1816522136010954,2191,0.26256578947368425
20,300,0.16666666666666666,1,LHS,20,2483.495016611296,0.2827558741537236,2511,0.18575000000000003
21,300,0.16666666666666666,1,circle,21,2485.923588039867,0.12014134275618374,1981,0.18465686274509802
22,300,0.16666666666666666,2,LHS,22,2479.6378737541527,0.16819277108433736,2075,0.17335
23,300,0.16666666666666666,2,circle,23,2480.009966777409,0.10207253886010363,1930,0.18504901960784317
24,100,0.1,1,LHS,0,2171.8118811881186,0.43817787418655096,922,0.2735
25,100,0.1,1,circle,1,2350.366336633663,0.3325842696629214,890,0.27590909090909094
26,100,0.1,2,LHS,2,2208.6039603960394,0.4845360824742268,1067,0.32599999999999996
27,100,0.1,2,circle,3,2392.910891089109,0.3281075027995521,893,0.29068181818181815
28,100,0.125,1,LHS,4,2207.168316831683,0.4932301740812379,1034,0.2535416666666667
29,100,0.125,1,circle,5,2396.138613861386,0.2595520421607378,759,0.24711538461538457
30,100,0.125,2,LHS,6,2250.029702970297,0.43737166324435317,974,0.2502083333333333
31,100,0.125,2,circle,7,2432.5148514851485,0.19599427753934193,699,0.23442307692307687
32,100,0.16666666666666666,1,LHS,8,2347.6831683168316,0.2853470437017995,778,0.15859374999999998
33,100,0.16666666666666666,1,circle,9,2452.4554455445545,0.10832025117739404,637,0.15911764705882353
34,100,0.16666666666666666,2,LHS,10,2408.019801980198,0.36605080831408776,866,0.2009375
35,100,0.16666666666666666,2,circle,11,2469.2475247524753,0.15677966101694915,708,0.20691176470588235
36,300,0.1,1,LHS,12,2460.112956810631,0.4525666016894087,3078,0.29683333333333334
37,300,0.1,1,circle,13,2482.358803986711,0.2609427609427609,2376,0.3476612903225806
38,300,0.1,2,LHS,14,2457.8239202657805,0.42561576354679803,3045,0.32450000000000007
39,300,0.1,2,circle,15,2490.8671096345515,0.24215809284818068,2391,0.31072580645161285
40,300,0.125,1,LHS,16,2477.4784053156145,0.3814723494188094,2839,0.23432432432432426
41,300,0.125,1,circle,17,2488.671096345515,0.19643672910004567,2189,0.27223684210526317
42,300,0.125,2,LHS,18,2458.966777408638,0.36051340128350323,2649,0.2233783783783784
43,300,0.125,2,circle,19,2470.700996677741,0.22377307519135525,2221,0.21796052631578944
44,300,0.16666666666666666,1,LHS,20,2473.2724252491694,0.24340683095546908,2313,0.18315
45,300,0.16666666666666666,1,circle,21,2493.1926910299003,0.12196331184928111,2017,0.18612745098039213
46,300,0.16666666666666666,2,LHS,22,2489.5348837209303,0.15340086830680175,2073,0.1677
47,300,0.16666666666666666,2,circle,23,2494.013289036545,0.10177865612648221,2024,0.19882352941176476
