,N,N_poles,Vision,Grid_positions,Grid_open,run,Average_lifespan,Percentage_failed,Total_attempts,Usage
0,100,LHS,True,0.1,1,0,2027.3168316832,0.5148809524,1008,0.3385
1,100,LHS,True,0.1,2,1,2136.1287128713,0.475308642,972,0.3525
2,100,LHS,True,0.125,1,2,2182.7821782178,0.4432270916,1004,0.2766666667
3,100,LHS,True,0.125,2,3,2290.0792079208,0.4090431125,951,0.2883333333
4,100,LHS,True,0.1666666667,1,4,2366.2475247525,0.4104166667,960,0.1909375
5,100,LHS,True,0.1666666667,2,5,2421.4653465347,0.2577447336,807,0.19828125
6,100,LHS,True,0.25,1,6,2466.603960396,0.1517976032,751,0.1446
7,100,LHS,True,0.25,2,7,2425.0495049505,0.2374839538,779,0.1177
8,100,circle,True,0.1,1,8,2363.2871287129,0.4541910331,1026,0.3572727273
9,100,circle,True,0.1,2,9,2379.8316831683,0.4067127345,1013,0.3340909091
10,100,circle,True,0.125,1,10,2435.5643564357,0.2545899633,817,0.2767307692
11,100,circle,True,0.125,2,11,2445.4653465347,0.1951871658,748,0.2423076923
12,100,circle,True,0.1666666667,1,12,2459.2178217822,0.1511299435,708,0.2160294118
13,100,circle,True,0.1666666667,2,13,2482.4554455446,0.1460674157,712,0.2127941176
14,100,circle,True,0.25,1,14,2454.099009901,0.0752136752,585,0.0977884615
15,100,circle,True,0.25,2,15,2499.9900990099,0.0527859238,682,0.1499038462
16,250,LHS,True,0.1,1,16,2433.1992031873,0.4248788368,2476,0.3133
17,250,LHS,True,0.1,2,17,2463.6175298805,0.5008689607,2877,0.2873
18,250,LHS,True,0.125,1,18,2462.3346613546,0.3681271478,2328,0.247983871
19,250,LHS,True,0.125,2,19,2484.6772908367,0.39888977,2522,0.2657258065
20,250,LHS,True,0.1666666667,1,20,2475.2589641434,0.1998901702,1821,0.1829268293
21,250,LHS,True,0.1666666667,2,21,2487.2430278885,0.2795431976,2014,0.1908536585
22,250,LHS,True,0.25,1,22,2487.1553784861,0.1338398597,1711,0.1068145161
23,250,LHS,True,0.25,2,23,2486.0438247012,0.170383076,1749,0.1033064516
24,250,circle,True,0.1,1,24,2463.6733067729,0.2732186732,2035,0.3144230769
25,250,circle,True,0.1,2,25,2484.0637450199,0.2991651206,2156,0.3167307692
26,250,circle,True,0.125,1,26,2479.5019920319,0.181420765,1830,0.266015625
27,250,circle,True,0.125,2,27,2464.5099601594,0.160022779,1756,0.26484375
28,250,circle,True,0.1666666667,1,28,2491.2549800797,0.1707708779,1868,0.1979761905
29,250,circle,True,0.1666666667,2,29,2480.6055776893,0.1164465786,1666,0.1963095238
30,250,circle,True,0.25,1,30,2475.1832669323,0.0787352759,1613,0.1281746032
31,250,circle,True,0.25,2,31,2482,0.0762444865,1587,0.1226587302
32,400,LHS,True,0.1,1,32,2467.0822942643,0.4828744124,4467,0.30775
33,400,LHS,True,0.1,2,33,2481.2119700748,0.4670493685,4355,0.3018125
34,400,LHS,True,0.125,1,34,2444.795511222,0.3813604713,3734,0.23845
35,400,LHS,True,0.125,2,35,2485.1920199501,0.2720959596,3168,0.2582
36,400,LHS,True,0.1666666667,1,36,2485.6533665836,0.2008898015,2922,0.1745075758
37,400,LHS,True,0.1666666667,2,37,2474.6857855362,0.2358803987,3010,0.1851893939
38,400,LHS,True,0.25,1,38,2496.970074813,0.108853967,2609,0.115825
39,400,LHS,True,0.25,2,39,2495.5860349127,0.1549815498,2710,0.1286
40,400,circle,True,0.1,1,40,2479.608478803,0.2386549135,3063,0.3175609756
41,400,circle,True,0.1,2,41,2485.608478803,0.2499184339,3065,0.2959756098
42,400,circle,True,0.125,1,42,2483.9750623441,0.1666080844,2845,0.2595098039
43,400,circle,True,0.125,2,43,2489.8004987531,0.1745416079,2836,0.2365686275
44,400,circle,True,0.1666666667,1,44,2485.2917705736,0.1105900742,2559,0.1701119403
45,400,circle,True,0.1666666667,2,45,2489.9251870324,0.1198950918,2669,0.1835820896
46,400,circle,True,0.25,1,46,2486.3516209476,0.0755157649,2569,0.1302227723
47,400,circle,True,0.25,2,47,2486.8952618454,0.0590390879,2456,0.1164108911
48,100,LHS,True,0.1,1,0,2044.9603960396,0.5547826087,1150,0.326
49,100,LHS,True,0.1,2,1,2051.1683168317,0.4939516129,992,0.33475
50,100,LHS,True,0.125,1,2,2197.6831683168,0.3981797497,879,0.2333333333
51,100,LHS,True,0.125,2,3,2254.2376237624,0.4522613065,995,0.2635416667
52,100,LHS,True,0.1666666667,1,4,2290.603960396,0.3089330025,806,0.2365625
53,100,LHS,True,0.1666666667,2,5,2382.603960396,0.3854505972,921,0.203125
54,100,LHS,True,0.25,1,6,2451.1188118812,0.2493857494,814,0.1365
55,100,LHS,True,0.25,2,7,2482.7623762376,0.1528150134,746,0.1191
56,100,circle,True,0.1,1,8,2386.5148514852,0.3549528302,848,0.2520454545
57,100,circle,True,0.1,2,9,2349.1683168317,0.4043887147,957,0.3252272727
58,100,circle,True,0.125,1,10,2408.198019802,0.1794117647,680,0.2505769231
59,100,circle,True,0.125,2,11,2409.9900990099,0.2654545455,825,0.2865384615
60,100,circle,True,0.1666666667,1,12,2466.0594059406,0.1614285714,700,0.2007352941
61,100,circle,True,0.1666666667,2,13,2485.9504950495,0.1769331586,763,0.1847058824
62,100,circle,True,0.25,1,14,2489.7623762376,0.1153846154,702,0.1011538462
63,100,circle,True,0.25,2,15,2493.6237623762,0.0528052805,606,0.1303846154
64,250,LHS,True,0.1,1,16,2438.3306772908,0.4845140619,2809,0.2897
65,250,LHS,True,0.1,2,17,2469.6334661355,0.4414234306,2501,0.2959
66,250,LHS,True,0.125,1,18,2423.9880478088,0.3576278859,2209,0.2436290323
67,250,LHS,True,0.125,2,19,2489.3505976096,0.3385300668,2245,0.2598387097
68,250,LHS,True,0.1666666667,1,20,2493.5338645418,0.2360406091,1970,0.1869512195
69,250,LHS,True,0.1666666667,2,21,2496.8844621514,0.2101252041,1837,0.1943292683
70,250,LHS,True,0.25,1,22,2491.3705179283,0.1495215311,1672,0.1319354839
