,N,N_poles,Vision,Grid_positions,Grid_open,run,Average_lifespan,Percentage_failed,Total_attempts,Usage,Width,Height,Initial_bravery,Battery_size
0,100,0.1,1,LHS,True,0,1979.881188118812,0.6207165109034268,1284,0.35600000000000004,80,80,10,75
1,100,0.1,1,LHS,False,1,1952.2376237623762,0.5131995776135164,947,0.32775,80,80,10,75
2,100,0.1,1,circle,True,2,2374.910891089109,0.2655654383735705,787,0.30818181818181817,80,80,10,75
3,100,0.1,1,circle,False,3,2358.3267326732675,0.3057553956834532,834,0.29772727272727273,80,80,10,75
4,100,0.1,2,LHS,True,4,2257.1782178217823,0.6308411214953271,1498,0.38075,80,80,10,75
5,100,0.1,2,LHS,False,5,2164.1782178217823,0.5492091388400703,1138,0.3,80,80,10,75
6,100,0.1,2,circle,True,6,2421.1485148514853,0.31211750305997554,817,0.31795454545454543,80,80,10,75
7,100,0.1,2,circle,False,7,2408.4356435643563,0.32363213038416766,859,0.325,80,80,10,75
8,100,0.125,1,LHS,True,8,2266.6039603960394,0.3609865470852018,892,0.2754166666666667,80,80,10,75
9,100,0.125,1,LHS,False,9,2252.841584158416,0.35472154963680386,826,0.2591666666666667,80,80,10,75
10,100,0.125,1,circle,True,10,2430.5148514851485,0.25375,800,0.24519230769230768,80,80,10,75
11,100,0.125,1,circle,False,11,2452.227722772277,0.16963064295485636,731,0.22288461538461538,80,80,10,75
12,100,0.125,2,LHS,True,12,2367.6732673267325,0.42330677290836655,1004,0.3189583333333333,80,80,10,75
13,100,0.125,2,LHS,False,13,2297.5247524752476,0.40022296544035674,897,0.281875,80,80,10,75
14,100,0.125,2,circle,True,14,2460.8118811881186,0.28376703841387857,807,0.25961538461538464,80,80,10,75
15,100,0.125,2,circle,False,15,2451.7227722772277,0.3170731707317073,820,0.2467307692307692,80,80,10,75
16,100,0.16666666666666666,1,LHS,True,16,2326.4950495049507,0.3333333333333333,903,0.20484375,80,80,10,75
17,100,0.16666666666666666,1,LHS,False,17,2363.5445544554455,0.33451118963486454,849,0.1965625,80,80,10,75
18,100,0.16666666666666666,1,circle,True,18,2466.128712871287,0.2140077821011673,771,0.16044117647058823,80,80,10,75
19,100,0.16666666666666666,1,circle,False,19,2430.6732673267325,0.084375,640,0.19955882352941176,80,80,10,75
20,100,0.16666666666666666,2,LHS,True,20,2408.732673267327,0.26022304832713755,807,0.19343749999999998,80,80,10,75
21,100,0.16666666666666666,2,LHS,False,21,2413.7821782178216,0.3719704952581665,949,0.1746875,80,80,10,75
22,100,0.16666666666666666,2,circle,True,22,2473.891089108911,0.09748892171344166,677,0.21426470588235297,80,80,10,75
23,100,0.16666666666666666,2,circle,False,23,2495.3267326732675,0.12553495007132667,701,0.20794117647058818,80,80,10,75
24,100,0.25,1,LHS,True,24,2432.019801980198,0.2336448598130841,749,0.11190000000000001,80,80,10,75
25,100,0.25,1,LHS,False,25,2436.227722772277,0.17963224893917965,707,0.1263,80,80,10,75
26,100,0.25,1,circle,True,26,2480.237623762376,0.045454545454545456,638,0.11846153846153845,80,80,10,75
27,100,0.25,1,circle,False,27,2482.089108910891,0.1334355828220859,652,0.13009615384615386,80,80,10,75
28,100,0.25,2,LHS,True,28,2484.5346534653463,0.1589895988112927,673,0.1097,80,80,10,75
29,100,0.25,2,LHS,False,29,2476.4851485148515,0.14878397711015737,699,0.1182,80,80,10,75
30,100,0.25,2,circle,True,30,2494.8118811881186,0.06334841628959276,663,0.12115384615384615,80,80,10,75
31,100,0.25,2,circle,False,31,2499.990099009901,0.06197654941373534,597,0.12403846153846154,80,80,10,75
32,250,0.1,1,LHS,True,32,2426.334661354582,0.5327525008067119,3099,0.3309,80,80,10,75
33,250,0.1,1,LHS,False,33,2418.5577689243028,0.5458015267175572,3144,0.32370000000000004,80,80,10,75
34,250,0.1,1,circle,True,34,2480.9521912350597,0.28157763354967547,2003,0.31298076923076923,80,80,10,75
35,250,0.1,1,circle,False,35,2460.227091633466,0.258679706601467,2045,0.3186538461538462,80,80,10,75
36,250,0.1,2,LHS,True,36,2452.011952191235,0.5098371777476255,2948,0.3008,80,80,10,75
37,250,0.1,2,LHS,False,37,2422.6932270916336,0.5526649746192893,3152,0.2983,80,80,10,75
38,250,0.1,2,circle,True,38,2478.00796812749,0.2527187985499741,1931,0.29605769230769236,80,80,10,75
39,250,0.1,2,circle,False,39,2483.5816733067727,0.25701402805611223,1996,0.3336538461538462,80,80,10,75
40,250,0.125,1,LHS,True,40,2465.5577689243028,0.4034067303697549,2407,0.24096774193548384,80,80,10,75
41,250,0.125,1,LHS,False,41,2449.227091633466,0.37139107611548555,2286,0.24991935483870967,80,80,10,75
42,250,0.125,1,circle,True,42,2471.5298804780878,0.22306910569105692,1968,0.27359374999999997,80,80,10,75
43,250,0.125,1,circle,False,43,2486.5577689243028,0.25620655412115195,2014,0.248046875,80,80,10,75
44,250,0.125,2,LHS,True,44,2461.003984063745,0.36597938144329895,2328,0.2604838709677419,80,80,10,75
45,250,0.125,2,LHS,False,45,2484.2868525896415,0.37270788912579955,2345,0.23516129032258065,80,80,10,75
46,250,0.125,2,circle,True,46,2497.211155378486,0.18687430478309233,1798,0.234140625,80,80,10,75
47,250,0.125,2,circle,False,47,2475.97609561753,0.1949616648411829,1826,0.234921875,80,80,10,75
48,250,0.16666666666666666,1,LHS,True,48,2461.5258964143427,0.33468104222821204,2226,0.1971341463414634,80,80,10,75
49,250,0.16666666666666666,1,LHS,False,49,2492.1235059760957,0.3295660036166365,2212,0.18128048780487804,80,80,10,75
50,250,0.16666666666666666,1,circle,True,50,2486.8725099601593,0.17108294930875576,1736,0.16446428571428573,80,80,10,75
51,250,0.16666666666666666,1,circle,False,51,2470.266932270916,0.07745159275452843,1601,0.20202380952380955,80,80,10,75
52,250,0.16666666666666666,2,LHS,True,52,2481.2749003984063,0.20747562296858071,1846,0.19847560975609754,80,80,10,75
53,250,0.16666666666666666,2,LHS,False,53,2486.0199203187253,0.23526315789473684,1900,0.18810975609756098,80,80,10,75
54,250,0.16666666666666666,2,circle,True,54,2495.812749003984,0.12594312246082415,1723,0.19458333333333333,80,80,10,75
55,250,0.16666666666666666,2,circle,False,55,2495.466135458167,0.14351851851851852,1728,0.1761904761904762,80,80,10,75
56,250,0.25,1,LHS,True,56,2494.211155378486,0.14859197124026363,1669,0.11838709677419354,80,80,10,75
57,250,0.25,1,LHS,False,57,2491.5019920318723,0.13956238911886457,1691,0.12165322580645162,80,80,10,75
58,250,0.25,1,circle,True,58,2478.832669322709,0.0568039950062422,1602,0.1316269841269841,80,80,10,75
59,250,0.25,1,circle,False,59,2494.394422310757,0.06408544726301736,1498,0.1234920634920635,80,80,10,75
60,250,0.25,2,LHS,True,60,2493.7211155378486,0.08812949640287769,1668,0.13125,80,80,10,75
61,250,0.25,2,LHS,False,61,2493.7490039840636,0.09794135995009358,1603,0.11673387096774192,80,80,10,75
62,250,0.25,2,circle,True,62,2479.868525896414,0.07092651757188498,1565,0.13071428571428573,80,80,10,75
63,250,0.25,2,circle,False,63,2481.0159362549803,0.0551128818061089,1506,0.12277777777777778,80,80,10,75
64,400,0.1,1,LHS,True,64,2470.8229426433913,0.4242652599849284,3981,0.290125,80,80,10,75
65,400,0.1,1,LHS,False,65,2477.9077306733166,0.48808197816885723,4489,0.28675,80,80,10,75
66,400,0.1,1,circle,True,66,2483.9675810473814,0.2598923710034821,3159,0.2975609756097561,80,80,10,75
67,400,0.1,1,circle,False,67,2479.9850374064836,0.2755102040816326,3234,0.32439024390243903,80,80,10,75
68,400,0.1,2,LHS,True,68,2485.9526184538654,0.46265652951699465,4472,0.3114375,80,80,10,75
69,400,0.1,2,LHS,False,69,2467.56608478803,0.40858018386108275,3916,0.30774999999999997,80,80,10,75
70,400,0.1,2,circle,True,70,2475.8304239401496,0.2541847489150651,3226,0.27384146341463417,80,80,10,75
71,400,0.1,2,circle,False,71,2490.551122194514,0.21708413615928066,3114,0.3150609756097561,80,80,10,75
72,400,0.125,1,LHS,True,72,2473.8204488778056,0.3517643789941651,3599,0.21405000000000002,80,80,10,75
73,400,0.125,1,LHS,False,73,2459.351620947631,0.39083769633507853,3820,0.2449,80,80,10,75
74,400,0.125,1,circle,True,74,2487.972568578554,0.1707145371348117,2841,0.26617647058823524,80,80,10,75
75,400,0.125,1,circle,False,75,2481.7506234413963,0.19155509783728114,2913,0.23637254901960789,80,80,10,75
76,400,0.125,2,LHS,True,76,2484.882793017456,0.3294185047264394,3491,0.2386,80,80,10,75
77,400,0.125,2,LHS,False,77,2482.6982543640897,0.31502375296912116,3368,0.24530000000000002,80,80,10,75
78,400,0.125,2,circle,True,78,2488.127182044888,0.1461944235116805,2654,0.24544117647058825,80,80,10,75
79,400,0.125,2,circle,False,79,2494.865336658354,0.18535773710482528,3005,0.27313725490196084,80,80,10,75
