,N,N_poles,Vision,Grid_positions,Grid_open,run,Average_lifespan,Percentage_failed,Total_attempts,Usage,Width,Height,Initial_bravery,Battery_size
0,100,0.1,1,LHS,True,0,2204.5742574257424,0.5287356321839081,1131,0.30624999999999997,80,80,10,75
1,100,0.1,1,LHS,False,1,1998.7128712871288,0.6220710506424793,1323,0.33675,80,80,10,75
2,100,0.1,1,circle,True,2,2382.7128712871286,0.3027295285359802,806,0.31795454545454543,80,80,10,75
3,100,0.1,1,circle,False,3,2309.2574257425745,0.2675862068965517,725,0.26909090909090905,80,80,10,75
4,100,0.1,2,LHS,True,4,2077.6138613861385,0.5645569620253165,1185,0.35,80,80,10,75
5,100,0.1,2,LHS,False,5,2086.861386138614,0.5033816425120773,1035,0.29724999999999996,80,80,10,75
6,100,0.1,2,circle,True,6,2389.4356435643563,0.30597014925373134,804,0.2945454545454545,80,80,10,75
7,100,0.1,2,circle,False,7,2363.7524752475247,0.3570595099183197,857,0.3113636363636364,80,80,10,75
8,100,0.125,1,LHS,True,8,2109.3564356435645,0.4609375,896,0.22895833333333335,80,80,10,75
9,100,0.125,1,LHS,False,9,2220.772277227723,0.43283582089552236,1005,0.24958333333333335,80,80,10,75
10,100,0.125,1,circle,True,10,2413.90099009901,0.348993288590604,894,0.2992307692307693,80,80,10,75
11,100,0.125,1,circle,False,11,2410.128712871287,0.31214528944381387,881,0.28903846153846147,80,80,10,75
12,100,0.125,2,LHS,True,12,2323.990099009901,0.44724556489262374,1071,0.3,80,80,10,75
13,100,0.125,2,LHS,False,13,2274.792079207921,0.4151351351351351,925,0.24979166666666663,80,80,10,75
14,100,0.125,2,circle,True,14,2427.8118811881186,0.20327421555252387,733,0.2932692307692308,80,80,10,75
15,100,0.125,2,circle,False,15,2427.227722772277,0.1593984962406015,665,0.19230769230769232,80,80,10,75
16,100,0.16666666666666666,1,LHS,True,16,2410.4554455445545,0.38016528925619836,968,0.20203125000000002,80,80,10,75
17,100,0.16666666666666666,1,LHS,False,17,2352.4653465346537,0.33217993079584773,867,0.19984375,80,80,10,75
18,100,0.16666666666666666,1,circle,True,18,2434.8217821782177,0.23893805309734514,791,0.2105882352941177,80,80,10,75
19,100,0.16666666666666666,1,circle,False,19,2420.1485148514853,0.1514705882352941,680,0.1822058823529412,80,80,10,75
20,100,0.16666666666666666,2,LHS,True,20,2389.7227722772277,0.3624229979466119,974,0.2465625,80,80,10,75
21,100,0.16666666666666666,2,LHS,False,21,2402.940594059406,0.2665036674816626,818,0.18921875,80,80,10,75
22,100,0.16666666666666666,2,circle,True,22,2488.5049504950493,0.12071330589849108,729,0.23044117647058823,80,80,10,75
23,100,0.16666666666666666,2,circle,False,23,2453.732673267327,0.16076294277929154,734,0.21588235294117647,80,80,10,75
24,100,0.25,1,LHS,True,24,2461.039603960396,0.2216142270861833,731,0.1016,80,80,10,75
25,100,0.25,1,LHS,False,25,2443.7821782178216,0.1060842433697348,641,0.12230000000000002,80,80,10,75
26,100,0.25,1,circle,True,26,2488.6930693069307,0.1031390134529148,669,0.11519230769230768,80,80,10,75
27,100,0.25,1,circle,False,27,2457.3861386138615,0.040238450074515646,671,0.1364423076923077,80,80,10,75
28,100,0.25,2,LHS,True,28,2474.6039603960394,0.09105431309904154,626,0.11649999999999999,80,80,10,75
29,100,0.25,2,LHS,False,29,2470.4653465346537,0.11337209302325581,688,0.11470000000000001,80,80,10,75
30,100,0.25,2,circle,True,30,2483.29702970297,0.0581039755351682,654,0.11240384615384615,80,80,10,75
31,100,0.25,2,circle,False,31,2479.267326732673,0.0492845786963434,629,0.11567307692307693,80,80,10,75
32,250,0.1,1,LHS,True,32,2441.4860557768925,0.5257595772787318,3028,0.32630000000000003,80,80,10,75
