,N,N_poles,Vision,Grid_positions,Grid_open,run,Average_lifespan,Percentage_failed,Total_attempts,Usage
0,175,0.16666666666666666,2,LHS,False,0,2479.494318181818,0.16679904686258937,1259,0.20025862068965516
1,175,0.16666666666666666,2,circle,False,1,2490.9488636363635,0.10947002606429192,1151,0.16641666666666668
2,325,0.16666666666666666,2,LHS,False,2,2492.825153374233,0.22336487042369396,2431,0.18870370370370373
3,325,0.16666666666666666,2,circle,False,3,2484.89263803681,0.12517321016166283,2165,0.17840909090909093
4,175,0.16666666666666666,2,LHS,False,0,2478.619318181818,0.2667578659370725,1462,0.16094827586206895
5,175,0.16666666666666666,2,circle,False,1,2492.068181818182,0.09404659188955997,1159,0.18183333333333335
6,325,0.16666666666666666,2,LHS,False,2,2490.282208588957,0.24545821558336697,2477,0.17101851851851851
7,325,0.16666666666666666,2,circle,False,3,2490.4539877300613,0.1235750113999088,2193,0.19045454545454552
8,175,0.16666666666666666,2,LHS,False,0,2497.659090909091,0.3648068669527897,1631,0.1969827586206897
9,175,0.16666666666666666,2,circle,False,1,2493.5,0.16143840856924255,1307,0.2099166666666666
10,325,0.16666666666666666,2,LHS,False,2,2477.739263803681,0.18513689700130379,2301,0.19148148148148147
11,325,0.16666666666666666,2,circle,False,3,2480.806748466258,0.12151667428049337,2189,0.18404545454545457
12,175,0.16666666666666666,2,LHS,False,0,2484.3295454545455,0.24525547445255474,1370,0.17206896551724138
13,175,0.16666666666666666,2,circle,False,1,2495.9375,0.11369509043927649,1161,0.19649999999999998
14,325,0.16666666666666666,2,LHS,False,2,2496.7361963190183,0.28006030908405577,2653,0.19097222222222218
15,325,0.16666666666666666,2,circle,False,3,2481.978527607362,0.09227871939736347,2124,0.1722272727272727
16,175,0.16666666666666666,2,LHS,False,0,2475.284090909091,0.27450980392156865,1377,0.14206896551724138
17,175,0.16666666666666666,2,circle,False,1,2482.625,0.16348547717842324,1205,0.18525
18,325,0.16666666666666666,2,LHS,False,2,2489.0552147239264,0.17271078875793291,2206,0.17148148148148148
19,325,0.16666666666666666,2,circle,False,3,2495.493865030675,0.11374407582938388,2110,0.16659090909090912
20,175,0.16666666666666666,2,LHS,False,0,2480.005681818182,0.3040268456375839,1490,0.18948275862068967
21,175,0.16666666666666666,2,circle,False,1,2493.090909090909,0.18606492478226444,1263,0.19333333333333333
22,325,0.16666666666666666,2,LHS,False,2,2495.352760736196,0.20435855263157895,2432,0.18162037037037038
23,325,0.16666666666666666,2,circle,False,3,2471.39263803681,0.11840293712712253,2179,0.19727272727272727
24,175,0.16666666666666666,2,LHS,False,0,2481.409090909091,0.24240231548480462,1382,0.19370689655172413
25,175,0.16666666666666666,2,circle,False,1,2487.528409090909,0.15247364152473641,1233,0.18583333333333335
26,325,0.16666666666666666,2,LHS,False,2,2477.739263803681,0.19573727707698999,2299,0.17217592592592593
27,325,0.16666666666666666,2,circle,False,3,2493.9662576687115,0.1137012369172217,2102,0.17090909090909087
28,175,0.16666666666666666,2,LHS,False,0,2483.5511363636365,0.30218281036834926,1466,0.19810344827586207
29,175,0.16666666666666666,2,circle,False,1,2494.568181818182,0.14878048780487804,1230,0.17625000000000002
30,325,0.16666666666666666,2,LHS,False,2,2490.5766871165642,0.23794340374651254,2509,0.2291203703703704
31,325,0.16666666666666666,2,circle,False,3,2472.052147239264,0.10199125789218066,2059,0.1845454545454546
