,N,N_poles,Vision,Grid_positions,Grid_open,run,Average_lifespan,Percentage_failed,Total_attempts,Usage,Width,Height,Initial_bravery,Battery_size
0,250,0.16666666666666666,3,circle,True,0,2490.733067729084,0.12273276904474002,1654,0.18625000000000003,80,80,10,75
1,250,0.16666666666666666,3,circle,False,1,2487.6772908366534,0.11626468769325912,1617,0.18369047619047618,80,80,10,75
2,250,0.16666666666666666,4,circle,True,2,2489.6454183266933,0.1329818394844757,1707,0.19553571428571426,80,80,10,75
3,250,0.16666666666666666,4,circle,False,3,2490.4183266932273,0.12852664576802508,1595,0.18636904761904763,80,80,10,75
4,250,0.16666666666666666,3,circle,True,0,2479.4900398406376,0.11640866873065016,1615,0.1691666666666667,80,80,10,75
5,250,0.16666666666666666,3,circle,False,1,2496.0557768924305,0.11858190709046455,1636,0.19083333333333335,80,80,10,75
6,250,0.16666666666666666,4,circle,True,2,2484.159362549801,0.12307692307692308,1625,0.20011904761904764,80,80,10,75
7,250,0.16666666666666666,4,circle,False,3,2480.7450199203186,0.14509331727874775,1661,0.19023809523809523,80,80,10,75
8,250,0.16666666666666666,3,circle,True,0,2481.589641434263,0.11325301204819277,1660,0.20553571428571424,80,80,10,75
9,250,0.16666666666666666,3,circle,False,1,2483.338645418327,0.16940179989412388,1889,0.21529761904761907,80,80,10,75
10,250,0.16666666666666666,4,circle,True,2,2485.0597609561755,0.1356335514574658,1681,0.18214285714285716,80,80,10,75
11,250,0.16666666666666666,4,circle,False,3,2487.7569721115538,0.14780600461893764,1732,0.18654761904761905,80,80,10,75
12,250,0.16666666666666666,3,circle,True,0,2483.6812749003984,0.118313404657017,1589,0.18892857142857142,80,80,10,75
13,250,0.16666666666666666,3,circle,False,1,2484.6932270916336,0.10479573712255773,1689,0.2093452380952381,80,80,10,75
14,250,0.16666666666666666,4,circle,True,2,2493.93625498008,0.12119366626065774,1642,0.17232142857142857,80,80,10,75
15,250,0.16666666666666666,4,circle,False,3,2490.7569721115538,0.14428152492668622,1705,0.17261904761904762,80,80,10,75
16,250,0.16666666666666666,3,circle,True,0,2480.9163346613545,0.10779537149817296,1642,0.18857142857142856,80,80,10,75
17,250,0.16666666666666666,3,circle,False,1,2491.4860557768925,0.10612492419648271,1649,0.16767857142857143,80,80,10,75
18,250,0.16666666666666666,4,circle,True,2,2478.4541832669324,0.14588235294117646,1700,0.16285714285714284,80,80,10,75
19,250,0.16666666666666666,4,circle,False,3,2489.1115537848605,0.1381118881118881,1716,0.1941071428571429,80,80,10,75
20,250,0.16666666666666666,3,circle,True,0,2480.0159362549803,0.10967344423906346,1623,0.1620833333333333,80,80,10,75
21,250,0.16666666666666666,3,circle,False,1,2485.7171314741036,0.10388782664117271,1569,0.16398809523809524,80,80,10,75
22,250,0.16666666666666666,4,circle,True,2,2469.1075697211154,0.11538461538461539,1742,0.18583333333333332,80,80,10,75
23,250,0.16666666666666666,4,circle,False,3,2493.6972111553787,0.14597701149425288,1740,0.20095238095238094,80,80,10,75
24,250,0.16666666666666666,3,circle,True,0,2498.231075697211,0.12718786464410736,1714,0.1983333333333334,80,80,10,75
25,250,0.16666666666666666,3,circle,False,1,2486.4462151394423,0.13413932066781808,1737,0.1800595238095238,80,80,10,75
26,250,0.16666666666666666,4,circle,True,2,2493.191235059761,0.14285714285714285,1736,0.19113095238095237,80,80,10,75
27,250,0.16666666666666666,4,circle,False,3,2496.8167330677293,0.17560975609756097,1845,0.2113095238095238,80,80,10,75
28,250,0.16666666666666666,3,circle,True,0,2487.2191235059763,0.12011834319526628,1690,0.20053571428571426,80,80,10,75
29,250,0.16666666666666666,3,circle,False,1,2491.5139442231075,0.12945914844649023,1738,0.15505952380952379,80,80,10,75
30,250,0.16666666666666666,4,circle,True,2,2494.4780876494024,0.13444378346222485,1681,0.1825595238095238,80,80,10,75
31,250,0.16666666666666666,4,circle,False,3,2496.035856573705,0.13453698311007573,1717,0.18172619047619046,80,80,10,75
32,250,0.16666666666666666,3,circle,True,0,2483.1553784860557,0.12871853546910755,1748,0.19023809523809523,80,80,10,75
33,250,0.16666666666666666,3,circle,False,1,2483.4501992031874,0.1159334126040428,1682,0.19184523809523807,80,80,10,75
34,250,0.16666666666666666,4,circle,True,2,2474.0557768924305,0.14236311239193083,1735,0.19214285714285714,80,80,10,75
35,250,0.16666666666666666,4,circle,False,3,2481.7250996015937,0.10779961953075459,1577,0.17077380952380952,80,80,10,75
36,250,0.16666666666666666,3,circle,True,0,2480.3227091633466,0.1457227138643068,1695,0.19744047619047617,80,80,10,75
37,250,0.16666666666666666,3,circle,False,1,2488.0438247011953,0.13787085514834205,1719,0.17470238095238097,80,80,10,75
38,250,0.16666666666666666,4,circle,True,2,2484.6733067729083,0.13671641791044775,1675,0.19208333333333336,80,80,10,75
39,250,0.16666666666666666,4,circle,False,3,2479.4541832669324,0.13321385902031063,1674,0.1995833333333334,80,80,10,75
40,250,0.16666666666666666,3,circle,True,0,2489.828685258964,0.11292270531400966,1656,0.19827380952380955,80,80,10,75
41,250,0.16666666666666666,3,circle,False,1,2488.733067729084,0.14608076009501186,1684,0.16583333333333333,80,80,10,75
42,250,0.16666666666666666,4,circle,True,2,2492.0557768924305,0.15842763549731984,1679,0.19059523809523807,80,80,10,75
43,250,0.16666666666666666,4,circle,False,3,2484.3027888446213,0.14412285883047843,1693,0.17761904761904765,80,80,10,75
44,250,0.16666666666666666,3,circle,True,0,2494.4183266932273,0.10461538461538461,1625,0.21636904761904757,80,80,10,75
45,250,0.16666666666666666,3,circle,False,1,2478.6175298804783,0.11581422692533803,1701,0.20696428571428574,80,80,10,75
46,250,0.16666666666666666,4,circle,True,2,2488.1513944223107,0.14738598442714126,1798,0.19422619047619052,80,80,10,75
47,250,0.16666666666666666,4,circle,False,3,2465.1513944223107,0.14580801944106925,1646,0.1839285714285714,80,80,10,75
48,250,0.16666666666666666,3,circle,True,0,2493.171314741036,0.1335676625659051,1707,0.17976190476190476,80,80,10,75
49,250,0.16666666666666666,3,circle,False,1,2489.330677290837,0.11414693381906496,1647,0.18964285714285714,80,80,10,75
50,250,0.16666666666666666,4,circle,True,2,2467.3466135458166,0.16208308952603862,1709,0.20196428571428568,80,80,10,75
51,250,0.16666666666666666,4,circle,False,3,2498.3824701195217,0.13836858006042296,1655,0.1954761904761905,80,80,10,75
52,250,0.16666666666666666,3,circle,True,0,2489.5856573705178,0.09801563439567047,1663,0.2268452380952381,80,80,10,75
53,250,0.16666666666666666,3,circle,False,1,2482.3067729083664,0.15669205658324264,1838,0.19767857142857143,80,80,10,75
54,250,0.16666666666666666,4,circle,True,2,2475.8167330677293,0.16014449127031907,1661,0.18988095238095237,80,80,10,75
55,250,0.16666666666666666,4,circle,False,3,2485.561752988048,0.1240024554941682,1629,0.18904761904761902,80,80,10,75
56,250,0.16666666666666666,3,circle,True,0,2493.597609561753,0.10858585858585859,1584,0.15339285714285716,80,80,10,75
57,250,0.16666666666666666,3,circle,False,1,2488.97609561753,0.11145320197044335,1624,0.18351190476190476,80,80,10,75
58,250,0.16666666666666666,4,circle,True,2,2477.3505976095616,0.12507516536380037,1663,0.17505952380952378,80,80,10,75
59,250,0.16666666666666666,4,circle,False,3,2486.9800796812747,0.13130128956623682,1706,0.18898809523809523,80,80,10,75
60,250,0.16666666666666666,3,circle,True,0,2487.988047808765,0.12184615384615384,1625,0.2044047619047619,80,80,10,75
61,250,0.16666666666666666,3,circle,False,1,2491.366533864542,0.13148371531966224,1658,0.19666666666666666,80,80,10,75
62,250,0.16666666666666666,4,circle,True,2,2484.067729083665,0.13570566948130278,1658,0.17910714285714285,80,80,10,75
63,250,0.16666666666666666,4,circle,False,3,2488.386454183267,0.15701042873696408,1726,0.1817857142857143,80,80,10,75
64,250,0.16666666666666666,3,circle,True,0,2493.0916334661356,0.10839598997493734,1596,0.17982142857142855,80,80,10,75
65,250,0.16666666666666666,3,circle,False,1,2491.4860557768925,0.16675962074735082,1793,0.20505952380952383,80,80,10,75
66,250,0.16666666666666666,4,circle,True,2,2485.812749003984,0.12840236686390533,1690,0.18124999999999997,80,80,10,75
67,250,0.16666666666666666,4,circle,False,3,2480.167330677291,0.17817982456140352,1824,0.21630952380952378,80,80,10,75
68,250,0.16666666666666666,3,circle,True,0,2498.820717131474,0.13333333333333333,1680,0.1692857142857143,80,80,10,75
69,250,0.16666666666666666,3,circle,False,1,2486.7211155378486,0.12244897959183673,1666,0.18833333333333332,80,80,10,75
70,250,0.16666666666666666,4,circle,True,2,2485.131474103586,0.10979413599500935,1603,0.18571428571428572,80,80,10,75
71,250,0.16666666666666666,4,circle,False,3,2479.6772908366534,0.1254396248534584,1706,0.19154761904761905,80,80,10,75
72,250,0.16666666666666666,3,circle,True,0,2481.7250996015937,0.11197604790419162,1670,0.17345238095238097,80,80,10,75
73,250,0.16666666666666666,3,circle,False,1,2488.2749003984063,0.10600490196078431,1632,0.1606547619047619,80,80,10,75
74,250,0.16666666666666666,4,circle,True,2,2496.864541832669,0.14589155953046395,1789,0.18970238095238096,80,80,10,75
75,250,0.16666666666666666,4,circle,False,3,2499.996015936255,0.11648745519713262,1674,0.16595238095238093,80,80,10,75
76,250,0.16666666666666666,3,circle,True,0,2478.7131474103585,0.11091954022988505,1740,0.19369047619047622,80,80,10,75
77,250,0.16666666666666666,3,circle,False,1,2489.3426294820715,0.10307414104882459,1659,0.19839285714285712,80,80,10,75
78,250,0.16666666666666666,4,circle,True,2,2496.573705179283,0.1478711162255466,1738,0.20017857142857146,80,80,10,75
79,250,0.16666666666666666,4,circle,False,3,2491.768924302789,0.17041420118343195,1690,0.17125,80,80,10,75
80,250,0.16666666666666666,3,circle,True,0,2493.5537848605577,0.1007845503922752,1657,0.18845238095238095,80,80,10,75
81,250,0.16666666666666666,3,circle,False,1,2481.003984063745,0.08648989898989899,1584,0.15988095238095237,80,80,10,75
82,250,0.16666666666666666,4,circle,True,2,2476.1274900398407,0.12744516893894486,1687,0.17113095238095236,80,80,10,75
83,250,0.16666666666666666,4,circle,False,3,2487.9521912350597,0.12734990903577925,1649,0.1893452380952381,80,80,10,75
84,250,0.16666666666666666,3,circle,True,0,2487.5856573705178,0.129739336492891,1688,0.15875000000000003,80,80,10,75
85,250,0.16666666666666666,3,circle,False,1,2499.996015936255,0.14088729016786572,1668,0.17875,80,80,10,75
86,250,0.16666666666666666,4,circle,True,2,2494.398406374502,0.1521486643437863,1722,0.1919047619047619,80,80,10,75
87,250,0.16666666666666666,4,circle,False,3,2480.868525896414,0.12128712871287128,1616,0.16339285714285715,80,80,10,75
88,250,0.16666666666666666,3,circle,True,0,2480.7171314741036,0.12010113780025285,1582,0.17023809523809522,80,80,10,75
89,250,0.16666666666666666,3,circle,False,1,2497.7569721115538,0.11953883495145631,1648,0.2000595238095238,80,80,10,75
90,250,0.16666666666666666,4,circle,True,2,2484.824701195219,0.11918951132300358,1678,0.18589285714285717,80,80,10,75
91,250,0.16666666666666666,4,circle,False,3,2493.011952191235,0.15252225519287835,1685,0.18172619047619046,80,80,10,75
92,250,0.16666666666666666,3,circle,True,0,2495.972111553785,0.10985748218527316,1684,0.18636904761904763,80,80,10,75
93,250,0.16666666666666666,3,circle,False,1,2493.8525896414344,0.12703190848886214,1661,0.18839285714285717,80,80,10,75
94,250,0.16666666666666666,4,circle,True,2,2486.179282868526,0.1303549571603427,1634,0.1963095238095238,80,80,10,75
95,250,0.16666666666666666,4,circle,False,3,2481.390438247012,0.19055374592833876,1842,0.17029761904761903,80,80,10,75
96,250,0.16666666666666666,3,circle,True,0,2495.426294820717,0.12238805970149254,1675,0.2058333333333333,80,80,10,75
